commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
d49c561b7374bf72684c6eaea6e65c71f69e0150,1289384513,1,0,659,1,6,4,3,0.556527877,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22b7d211865c1505862627a2e65bcd063e314e45,1291372449,1,0,72,33,5,2,2,0.343048046,TRUE,2,139866,17,8,FALSE,0,0,0,2,0,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0.111111111
0f7cba14f612885151a95c590b23c5fe25efdd05,1292422305,1,0,751,189,17,5,2,0.727024978,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a74f09044e705955fa837925d2fb9ce533660fcf,1294348188,1,0,17,16,1,1,1,0,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d27fb341ec55121b48ac0ac6ece8214dc9b99e64,1300125447,1,0,86,115,2,2,2,0.326258815,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574e7e44d335273a888784c3a2eeedebe5d4e9ca,1300447664,1,0,1,1,1,1,1,0,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0fbeed69a42415b375e33a9c8dcceff887a5df1c,1300466461,1,0,79,6,2,2,2,0.587311609,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5346d77e8ccba0a7bfb0cc1f257a26865a1c9d42,1301925522,1,0,15,1,2,1,1,0.337290067,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
068545f2cd5b257c1691a28f814ff149d167ceec,1302079648,0,0,83,8,1,1,1,0,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764840ec0e189b4a9f76cdd659d82a2a50324190,1302464916,1,0,107,0,3,2,2,0.821945742,TRUE,2,964756,13,7,FALSE,0,0,0,1,0,1,1,0,1,1,0,1,1,0.071428571,0.142857143,0.142857143
6d3044db9578d14b11dc7d156e2d81709c3d0ed7,1302622338,1,0,30,24,2,1,1,0.999010271,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83ecb25998aa41ae4f8dc48dd6a96cfe7e87a67f,1302682603,1,0,376,105,19,5,2,0.736365756,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49fc8921293b664d8ec48a399c4e5ee77f5d3176,1302796842,1,0,4,0,1,1,1,0,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3e5fc0220e57d5a9bba35780915c53790ff249f,1303128452,1,0,155,78,6,3,2,0.755320832,TRUE,1,23104,14,2,FALSE,0,0,0,2,0,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0.066666667
1ad3814a56ded1852efb3389edd03866699412f6,1303136613,1,0,28,15,2,1,1,0.446481347,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724671feca39e6eebaf4d8005bb89d5c14e96386,1303137979,0,0,96,0,1,1,1,0,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d32728af23cd307c84d8c98dcd6d6d78908e5bf,1303210099,1,0,3,2,1,1,1,0,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
044e7602ae72889f363d688dbe0d73cec5f0636a,1303216819,1,0,4,1,2,1,1,0.721928095,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299d10549f5aff50cd6211eb3d3e58c17f13be81,1303405442,1,0,13,24,2,1,1,0.753197991,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45baf4ed0b2b6c7862d4df5d8b9878cec88237f3,1303483140,1,0,2,2,1,1,1,0,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498f938f2d0a206b6864457cac9f96b179ac1216,1303804603,1,0,230,60,5,2,2,0.66083828,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbef41167aa4aede67bc1ec904142e2e5e12c7fc,1303814591,1,0,168,596,11,1,1,0.503003181,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54ab99d5e2cb33d87381ad11aba712e8162783d9,1303891870,0,0,2,1,2,1,1,0.918295834,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863de43dcad501a6c9675823217d0abf0269f802,1303897733,1,0,7,2,2,2,2,0.918295834,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eae8fb85997d82ecec0743ba3e470681129bff41,1303906406,1,0,278,138,29,10,1,0.657286585,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0748751c9f097d9d866605306bbdd4b96e2a5c4e,1303924601,1,0,1512,245,208,120,3,0.922614497,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7dda80e1d0563742157f9e4e2ee08a6297427745,1304062430,0,0,45,35,2,1,1,0.577653903,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4b75ceea08815c096ec35a077c5c1e3bfca0e5ed,1304070283,1,0,17,24,5,4,1,0.816574591,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59ded5cce47986ac941c437fbf972b1da581da05,1304330400,1,0,26,11,6,2,2,0.850957017,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c04b7a55d131006cf1061f3456f4c63a7436801e,1304409150,1,0,21,14,4,2,1,0.595769035,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e443d8850105549eb1d72f54d3bf0d3d72cf90c2,1304427973,1,0,45,7,6,4,1,0.86934123,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc88f528dcfe3b2b2369530d76fee2994c2887f9,1304429428,1,0,19,4,4,2,1,0.997890424,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5df3d517b48db1410e16947194a32137d08b70e6,1304449580,1,0,63,56,6,1,1,0.576007163,FALSE,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
